color_name,R,G,B
Black,0,0,0
White,255,255,255
Red,255,0,0
Lime,0,255,0
Blue,0,0,255
Yellow,255,255,0
Cyan,0,255,255
Magenta,255,0,255
Silver,192,192,192
Gray,128,128,128
Maroon,128,0,0
Olive,128,128,0
Green,0,128,0
Purple,128,0,128
Teal,0,128,128
Navy,0,0,128
DarkRed,139,0,0
Brown,165,42,42
FireBrick,178,34,34
Crimson,220,20,60
OrangeRed,255,69,0
Tomato,255,99,71
Coral,255,127,80
DarkOrange,255,140,0
Orange,255,165,0
Gold,255,215,0
DarkGoldenRod,184,134,11
GoldenRod,218,165,32
PaleGoldenRod,238,232,170
Khaki,240,230,140
DarkKhaki,189,183,107
Lavender,230,230,250
Thistle,216,191,216
Plum,221,160,221
Violet,238,130,238
Orchid,218,112,214
Fuchsia,255,0,255
DeepPink,255,20,147
HotPink,255,105,180
LightPink,255,182,193
Pink,255,192,203
AntiqueWhite,250,235,215
Beige,245,245,220
Bisque,255,228,196
BlanchedAlmond,255,235,205
Wheat,245,222,179
Moccasin,255,228,181
PapayaWhip,255,239,213
PeachPuff,255,218,185
Peru,205,133,63
Maroon,128,0,0
Olive,128,128,0
Teal,0,128,128
Navy,0,0,128
Fuchsia,255,0,255
Aqua,0,255,255
Orange,255,165,0
Gold,255,215,0
Pink,255,192,203
SkyBlue,135,206,235
Salmon,250,128,114
Turquoise,64,224,208
Lavender,230,230,250
SlateGray,112,128,144
Coral,255,127,80
